C,Q,A
"Сотрудник Алексей работает в крупной компании и хочет принять участие в управлении организацией. Он обратился к адвокату, чтобы узнать, какие права у него есть на участие в управлении и как он может осуществить это право.",Какие права имеет работник на участие в управлении организацией и как он может осуществить это право?,"Работник имеет право на участие в управлении организацией в соответствии с Трудовым Кодексом РФ, другими федеральными законами, учредительными документами организации, коллективным договором и соглашениями. Он может осуществить это право непосредственно или через свои представительные органы.
""Право работников на участие в управлении организацией непосредственно или через свои представительные органы регулируется настоящим Кодексом, иными федеральными законами, учредительными документами организации, коллективным договором, соглашениями."" (Трудовой Кодекс РФ)"
"В компании ""Альфа"" произошли изменения в условиях труда работников, которые не были предварительно обсуждены с представительным органом работников. Работники обратились к адвокату, чтобы получить помощь в защите своих прав.","Какие права имеют представители работников в случае введения технологических изменений, влекущих за собой изменение условий труда работников?","Представители работников имеют право получать от работодателя информацию по вопросам введения технологических изменений, влекущих за собой изменение условий труда работников. Они также имеют право вносить по этим вопросам в органы управления организацией соответствующие предложения и участвовать в заседаниях указанных органов при их рассмотрении. ""Представители работников имеют право также вносить по этим вопросам в органы управления организацией соответствующие предложения и участвовать в заседаниях указанных органов при их рассмотрении"" (Трудовой Кодекс РФ)."
"В компании ""Альфа"" произошел конфликт между работниками и администрацией относительно условий труда. Работники хотят получить помощь адвоката для участия в коллективных переговорах и заключении коллективного договора.","Какие меры могут быть применены к представителям администрации, если они уклоняются от участия в коллективных переговорах и отказываются от заключения коллективного договора?","Представители администрации, уклоняющиеся от участия в коллективных переговорах по заключению коллективного договора или неправомерно отказавшиеся от подписания согласованного коллективного договора, подвергаются штрафу в размере и порядке, установленных федеральным законом. ""Представители сторон, уклоняющиеся от участия в коллективных переговорах по заключению, изменению коллективного договора, соглашения или неправомерно отказавшиеся от подписания согласованного коллективного договора, соглашения, подвергаются штрафу в размере и порядке, которые установлены федеральным законом"" (Трудовой Кодекс РФ)."
"В компании ""Альфа"" был заключен коллективный договор, в котором были прописаны обязательства работодателя по предоставлению определенных льгот и компенсаций для работников. Однако, работодатель не выполнил свои обязательства, не предоставив работникам обещанные льготы и компенсации. Работники, представляющие себя, решили обратиться за помощью к адвокату, чтобы защитить свои права и получить компенсацию.","Каковы последствия для лиц, представляющих работодателя, при нарушении или невыполнении обязательств, предусмотренных коллективным договором?","Лица, представляющие работодателя и виновные в нарушении или невыполнении обязательств, предусмотренных коллективным договором, подвергаются штрафу в размере и порядке, установленных федеральным законом. ""Лица, представляющие работодателя либо представляющие работников, виновные в нарушении или невыполнении обязательств, предусмотренных коллективным договором, соглашением, подвергаются штрафу в размере и порядке, которые установлены федеральным законом"" (Трудовой Кодекс РФ, Статья 55)."
"Василий работает в крупной компании в должности программиста. Он обратился к адвокату, так как его работодатель не выплачивает ему заработную плату в полном размере и не предоставляет условия труда, предусмотренные трудовым законодательством. Василий хочет узнать, какие права он имеет в данной ситуации и какие меры можно принять против работодателя.","Какие права имеет работник, если работодатель не выплачивает заработную плату в полном размере и не предоставляет условия труда, предусмотренные трудовым законодательством?","Работник имеет право на полную и своевременную выплату заработной платы, а также на предоставление условий труда, предусмотренных трудовым законодательством. В случае нарушения этих прав, работник может обратиться в суд с требованием о защите своих прав. ""Работодатель обязуется... своевременно и в полном размере выплачивать работнику заработную плату"" (Трудовой Кодекс РФ, статья 56)."
"Владимир работает на строительной компании ""Строй-Буд"" и является ее работником. Однако, в последнее время его начальник, Иван, стал отправлять его выполнять работы на других строительных объектах, которые не принадлежат компании ""Строй-Буд"". Владимир обратился к адвокату, чтобы узнать, является ли такая практика законной и может ли он отказаться от выполнения этих работ.","Может ли работник отказаться от выполнения работ на сторонних объектах, если его работодатель направил его туда по своему распоряжению?","Работник может отказаться от выполнения работ на сторонних объектах, если его работодатель направил его туда по своему распоряжению. Согласно Трудовому Кодексу РФ, заемный труд запрещен, и работник не обязан выполнять работы на объектах, не принадлежащих его работодателю.
Доказательство: ""Заемный труд - труд, осуществляемый работником по распоряжению работодателя в интересах, под управлением и контролем физического лица или юридического лица, не являющихся работодателем данного работника."" (Трудовой Кодекс РФ)"
"Василий Иванович, работник ООО ""Прогресс"", заключил трудовой договор с работодателем на должность инженера-конструктора. Однако в договоре не указан размер тарифной ставки, а также не указаны условия оплаты труда. Василий Иванович обратился к адвокату, чтобы узнать, какие права он имеет в данной ситуации.",Какие условия оплаты труда должны быть указаны в трудовом договоре?,"В трудовом договоре должны быть указаны условия оплаты труда, включая размер тарифной ставки или оклада, доплаты, надбавки и поощрительные выплаты. ""[...] условия оплаты труда (в том числе размер тарифной ставки или оклада (должностного оклада) работника, доплаты, надбавки и поощрительные выплаты)"" (Трудовой Кодекс РФ, Статья 57)."
"Василий работает в крупной компании и занимает должность руководителя отдела. Он получил предложение о работе в другой компании, где ему предлагают более высокую зарплату и лучшие условия труда. Василий хочет заключить срочный трудовой договор с новым работодателем, чтобы быть уверенным в сохранении места работы в случае, если ему не понравится новая должность или компания.",Может ли Василий заключить срочный трудовой договор с новым работодателем?,"Да, Василий может заключить срочный трудовой договор с новым работодателем. Согласно статье 59 Трудового Кодекса РФ, срочный трудовой договор может быть заключен с лицами, поступающими на работу в организацию на определенный срок или для выполнения определенной работы. В данном случае, Василий хочет заключить срочный трудовой договор для обеспечения сохранения места работы в случае неудовлетворительных условий новой работы."
"Владимир является работником в компании ""Альфа"". В его трудовом договоре указано, что его основной обязанностью является работа на производстве. Однако, руководство компании требует от Владимира выполнить работу по уборке офисных помещений, которая не указана в его трудовом договоре. Владимир обратился к адвокату, чтобы узнать, может ли работодатель требовать выполнения такой работы.","Может ли работодатель требовать от работника выполнения работы, не обусловленной трудовым договором?","Нет, работодатель не может требовать от работника выполнения работы, не обусловленной трудовым договором. Согласно статье 60 Трудового Кодекса РФ: ""Запрещается требовать от работника выполнения работы, не обусловленной трудовым договором, за исключением случаев, предусмотренных настоящим Кодексом и иными федеральными законами."""
"Василий работает на полную ставку в крупной компании, но хочет получить дополнительный заработок. Он решил заключить трудовой договор о выполнении другой работы в свободное от основной работы время у того же работодателя. Однако, работодатель отказался заключать такой договор, ссылаясь на то, что это запрещено законодательством.",Может ли Василий заключить трудовой договор о выполнении другой работы в свободное от основной работы время у того же работодателя?,"Да, Василий имеет право заключить трудовой договор о выполнении другой работы в свободное от основной работы время у того же работодателя. Согласно статье 60.1 Трудового Кодекса РФ, работник имеет такое право. ""Работник имеет право заключать трудовые договоры о выполнении в свободное от основной работы время другой регулярной оплачиваемой работы у того же работодателя"" (Трудовой Кодекс РФ, статья 60.1)."
"Работник Алексей работает в крупной компании в должности менеджера по продажам. Однако, из-за увеличения объема работы в отделе, работодатель решает поручить Алексею дополнительную работу по расширению зон обслуживания. Алексей соглашается на это условие, так как ему обещают дополнительную оплату за эту работу.",Может ли работодатель поручить Алексею дополнительную работу по расширению зон обслуживания?,"Да, работодатель может поручить Алексею дополнительную работу по расширению зон обслуживания. Согласно статье 60.2 Трудового Кодекса РФ, поручаемая работнику дополнительная работа по такой же профессии (должности) может осуществляться путем расширения зон обслуживания."
"Работник Алексей подписал трудовой договор с работодателем ООО ""Строительство"" и должен был начать работу 1 марта 2022 года. Однако, Алексей не явился на работу в указанный день. Работодатель хочет узнать, какие права у него есть в данной ситуации.","Какие права имеет работодатель, если работник не явился на работу в день начала работы, указанный в трудовом договоре?","Работодатель имеет право аннулировать трудовой договор, если работник не приступил к работе в день начала работы, установленный в соответствии с частью второй или третьей статьи 61 Трудового Кодекса РФ. Аннулированный трудовой договор считается незаключенным. Однако, аннулирование трудового договора не лишает работника права на получение обеспечения по обязательному социальному страхованию при наступлении страхового случая в период со дня заключения трудового договора до дня его аннулирования.
Процитируем статью 61 Трудового Кодекса РФ: ""Если работник не приступил к работе в день начала работы, установленный в соответствии с частью второй или третьей настоящей статьи, то работодатель имеет право аннулировать трудовой договор"" (Трудовой Кодекс РФ)."
"Работник Иванов обратился к своему работодателю с письменным заявлением о выдаче копии приказа о приеме на работу, так как он нуждается в этом документе для получения ипотечного кредита. Однако работодатель не выполнил его требование в течение трех рабочих дней. Иванов решил обратиться к адвокату за помощью.",Может ли Иванов требовать выдачи копии приказа о приеме на работу и каковы сроки выполнения этого требования?,"Да, Иванов имеет право требовать выдачи копии приказа о приеме на работу. Согласно статье 62 Трудового Кодекса РФ, работодатель обязан выдать работнику копию документов, связанных с работой, в течение трех рабочих дней со дня подачи заявления.
Подтверждение: ""По письменному заявлению работника работодатель обязан не позднее трех рабочих дней со дня подачи этого заявления выдать работнику... копии документов, связанных с работой (копии приказа о приеме на работу)..."" (Трудовой Кодекс РФ)"
"Работа несовершеннолетнего с письменного согласия родителя
Владимиру 14 лет и он хочет найти работу, чтобы заработать деньги на свои личные нужды. Он обратился к адвокату, чтобы узнать, может ли он заключить трудовой договор в своем возрасте.",Может ли Владимир заключить трудовой договор в возрасте 14 лет?,"Нет, Владимир не может заключить трудовой договор в возрасте 14 лет. Согласно статье 63 Трудового Кодекса РФ, трудовой договор может быть заключен с лицами, достигшими возраста шестнадцати лет, за исключением случаев, предусмотренных законом. Лица, достигшие возраста пятнадцати лет, могут заключать трудовой договор только для выполнения легкого труда, не причиняющего вреда их здоровью."
"Работник Александр обратился к адвокату, так как ему было отказано в заключении трудового договора на новом месте работы. Александр уверен, что причиной отказа является его возраст, так как работодатель предпочел нанять молодого сотрудника.",Может ли работодатель отказать в заключении трудового договора на основании возраста работника?,"Нет, работодатель не может отказать в заключении трудового договора на основании возраста работника. Согласно статье 64 Трудового Кодекса РФ, ""какое бы то ни было прямое или косвенное ограничение прав или установление прямых или косвенных преимуществ при заключении трудового договора в зависимости от... возраста... не допускается""."
"Гражданин Иванов, который работал государственным служащим в течение последних двух лет, уволился и хочет найти работу в частной организации. Он обратился к юристу за помощью, чтобы узнать, может ли он замещать должности в частных организациях после увольнения с государственной службы.",Может ли гражданин Иванов замещать должности в частных организациях после увольнения с государственной службы?,"Да, гражданин Иванов имеет право замещать должности в организациях после увольнения с государственной службы, если отдельные функции государственного управления данными организациями входили в его должностные обязанности в течение последних двух лет. Однако для этого ему необходимо получить согласие соответствующей комиссии по соблюдению требований к служебному поведению государственных служащих и урегулированию конфликта интересов. ""[place quote here]"" (Трудовой Кодекс РФ, Статья 64.1)"
"Сотрудник компании ""А"" по имени Иван Иванов поступил на работу в компанию ""Б"". При заключении трудового договора работодателю были предъявлены паспорт, трудовая книжка, документ о регистрации в системе индивидуального учета и справка о наличии судимости. Однако, работодатель требует от Ивана Иванова предоставить справку о наличии административного наказания за потребление наркотических средств. Иван Иванов обратился к адвокату за помощью.",Может ли работодатель требовать от Ивана Иванова предоставить справку о наличии административного наказания за потребление наркотических средств при заключении трудового договора?,"Нет, работодатель не может требовать от Ивана Иванова предоставить справку о наличии административного наказания за потребление наркотических средств при заключении трудового договора. Запрещается требовать от лица, поступающего на работу, документы помимо предусмотренных Трудовым Кодексом РФ и другими федеральными законами: ""[...] Запрещается требовать от лица, поступающего на работу, документы помимо предусмотренных настоящим Кодексом, иными федеральными законами, указами Президента Российской Федерации и постановлениями Правительства Российской Федерации."" (Трудовой Кодекс РФ, Статья 65)."
"Сотрудник компании ""А"" обратился к адвокату с просьбой о помощи в восстановлении его трудовой книжки, которая была утеряна работодателем. Сотрудник работал в данной компании более 10 лет и хочет иметь документальное подтверждение своего трудового стажа и работы.",Какие действия может предпринять сотрудник для восстановления утерянной трудовой книжки?,"Сотрудник может обратиться в суд с иском о восстановлении трудовой книжки. Суд может обязать работодателя восстановить утерянную трудовую книжку и внести в нее соответствующие записи. ""Трудовая книжка установленного образца является основным документом о трудовой деятельности и трудовом стаже работника"" (Статья 66 Трудового Кодекса РФ)."
"Василий работает в компании ""Альфа"" уже несколько лет. Он хочет получить информацию о своей трудовой деятельности за последние 5 лет, чтобы узнать свой трудовой стаж и иметь документы для будущих целей.",Как Василий может получить сведения о своей трудовой деятельности за последние 5 лет?,"Василий может получить сведения о своей трудовой деятельности за последние 5 лет следующими способами:
- Обратиться к работодателю ""Альфа"" и запросить бумажные копии сведений о трудовой деятельности, заверенные надлежащим образом.
- Обратиться в многофункциональный центр предоставления государственных и муниципальных услуг и запросить бумажные копии сведений о трудовой деятельности, заверенные надлежащим образом.
- Обратиться в Фонд пенсионного и социального страхования Российской Федерации и запросить бумажные или электронные копии сведений о трудовой деятельности, заверенные надлежащим образом.
- Использовать единый портал государственных и муниципальных услуг для получения электронных копий сведений о трудовой деятельности, подписанных усиленной квалифицированной электронной подписью.
Документ говорит: ""Лицо, имеющее стаж работы по трудовому договору, может получать сведения о трудовой деятельности... на бумажном носителе, заверенные надлежащим образом, или в форме электронного документа, подписанного усиленной квалифицированной электронной подписью"" (Трудовой Кодекс РФ)."
"Работник Иванов, который только что приступил к работе в компании, обратился к адвокату, так как не получил экземпляр трудового договора от работодателя. Он хочет узнать, имеет ли он право на получение копии договора.",Имеет ли работник право на получение экземпляра трудового договора?,"Да, работник имеет право на получение экземпляра трудового договора. Согласно Трудовому Кодексу РФ, ""Трудовой договор заключается в письменной форме, составляется в двух экземплярах, каждый из которых подписывается сторонами"" (Статья 67). Также, ""Получение работником экземпляра трудового договора должно подтверждаться подписью работника на экземпляре трудового договора, хранящемся у работодателя"" (Статья 67). Таким образом, работник имеет право на получение экземпляра трудового договора и его подписание."
"Василий работает на строительной площадке в качестве рабочего. Однажды его друг, Иван, попросил Василия помочь ему с выполнением некоторых работ на строительной площадке. Василий согласился и допустил Ивана к работе, хотя он не имеет полномочий работодателя. После выполнения работ работодатель отказался признать трудовые отношения между Иваном и собой и не оплатил Ивану отработанное время.",Какие последствия возникают при фактическом допущении к работе не уполномоченным на это лицом?,"Работодатель, в интересах которого была выполнена работа, обязан оплатить фактически отработанное время физическому лицу, которое было допущено к работе не уполномоченным на это работником. Однако, работник, осуществивший фактическое допущение к работе, может быть привлечен к ответственности, включая материальную, в соответствии с Трудовым Кодексом РФ и другими федеральными законами. ""Работник, осуществивший фактическое допущение к работе, не будучи уполномоченным на это работодателем, привлекается к ответственности, в том числе материальной, в порядке, установленном настоящим Кодексом и иными федеральными законами"" (Трудовой Кодекс РФ, Статья 67.1)."
"Василий Иванов подал заявление в суд с требованием о признании его незаконно уволенным с работы. Он утверждает, что работодатель не оформил его прием на работу трудовым договором и не предоставил ему правила внутреннего трудового распорядка. Василий хочет получить помощь адвоката для защиты своих трудовых прав.","Может ли Василий Иванов требовать признания его увольнения незаконным, если работодатель не оформил его прием на работу трудовым договором и не предоставил правила внутреннего трудового распорядка?","Да, Василий Иванов может требовать признания его увольнения незаконным, так как работодатель обязан оформить прием на работу трудовым договором и ознакомить работника с правилами внутреннего трудового распорядка. Согласно Трудовому Кодексу РФ: ""При приеме на работу (до подписания трудового договора) работодатель обязан ознакомить работника под роспись с правилами внутреннего трудового распорядка"" (Статья 68, Трудовой Кодекс РФ)."
"Вася, 17-летний студент, подал заявление на работу в местный магазин. Он хочет получить помощь юриста, так как работодатель требует от него пройти медицинский осмотр перед заключением трудового договора.","Может ли работодатель требовать от Васи пройти медицинский осмотр перед заключением трудового договора, учитывая его возраст?","Да, работодатель может требовать от Васи пройти медицинский осмотр перед заключением трудового договора, так как лица, не достигшие возраста восемнадцати лет, подлежат обязательному предварительному медицинскому осмотру при заключении трудового договора.
Документ гласит: ""Обязательному предварительному медицинскому осмотру при заключении трудового договора подлежат лица, не достигшие возраста восемнадцати лет"" (Трудовой Кодекс РФ, Статья 69)."
"Работник Алексей был принят на работу в компанию ""А"" без заключения трудового договора. Он работает уже две недели, но до сих пор не подписал никаких документов. Теперь работодатель хочет включить условие об испытании в трудовой договор. Может ли он это сделать?","Может ли работодатель включить условие об испытании в трудовой договор, если работник уже фактически приступил к работе без оформления документов?","Нет, работодатель не может включить условие об испытании в трудовой договор, если работник уже фактически приступил к работе без оформления документов. Согласно Трудовому Кодексу РФ, условие об испытании может быть включено в трудовой договор только если стороны оформили его в виде отдельного соглашения до начала работы.
Процитируем Трудовой Кодекс РФ: ""В случае, когда работник фактически допущен к работе без оформления трудового договора, условие об испытании может быть включено в трудовой договор, только если стороны оформили его в виде отдельного соглашения до начала работы"" (Статья 70, Трудовой Кодекс РФ)."
"Работник Алексей был принят на испытательный срок в компанию ""А"". Однако, после прохождения испытания, работодатель принял решение расторгнуть трудовой договор с Алексеем, указав причины в письменной форме. Алексей не согласен с таким решением и хочет обжаловать его в суд.",Может ли Алексей обжаловать решение работодателя о расторжении трудового договора после неудовлетворительного результата испытания?,"Да, Алексей имеет право обжаловать решение работодателя в суд. Согласно статье 71 Трудового Кодекса РФ, ""Решение работодателя работник имеет право обжаловать в суд."""
"Работник Алексей работает в компании уже несколько лет. В последнее время у него возникли проблемы со здоровьем, и ему стало трудно выполнять свои обязанности. Алексей хочет обратиться к юристу, чтобы узнать, есть ли у него право на перевод на другую работу, учитывая его состояние здоровья.",Может ли Алексей требовать перевода на другую работу из-за проблем со здоровьем?,"Да, Алексей может требовать перевода на другую работу из-за проблем со здоровьем. Согласно статье 72 Трудового Кодекса РФ, изменение определенных сторонами условий трудового договора, включая перевод на другую работу, допускается только по соглашению сторон трудового договора, за исключением случаев, предусмотренных настоящим Кодексом. Это означает, что Алексей имеет право требовать перевода на другую работу, если его состояние здоровья мешает ему выполнять текущие обязанности."
"Сотрудник Алексей работает в компании ""А"" на должности программиста. В связи с изменениями в организации работы, работодатель принимает решение перевести Алексея на должность тестировщика. Алексей не согласен с таким переводом и хочет обратиться за помощью к адвокату.",Может ли работодатель перевести сотрудника на другую работу без его письменного согласия?,"Нет, работодатель не может перевести сотрудника на другую работу без его письменного согласия, за исключением случаев, предусмотренных частями второй и третьей статьи 72.2 Трудового Кодекса РФ.
Доказательство: ""Перевод на другую работу допускается только с письменного согласия работника, за исключением случаев, предусмотренных частями второй и третьей статьи 72.2 настоящего Кодекса."" (Статья 72.1 Трудового Кодекса РФ)"
"Сотрудник Алексей работает на предприятии по профессии инженера-конструктора. В связи с отсутствием одного из сотрудников, Алексей был временно переведен на должность технического рисовальщика на срок одного года. По истечении срока перевода, Алексей не получил предоставления прежней работы и продолжает работать на новой должности. Он хочет узнать, является ли его перевод постоянным и как это может повлиять на его трудовые права.","Является ли перевод Алексея на новую должность постоянным, если по окончании срока перевода ему не предоставлена прежняя работа?","Нет, перевод Алексея на новую должность считается постоянным, если по окончании срока перевода прежняя работа ему не предоставлена и он не потребовал ее предоставления. Согласно статье 72.2 Трудового кодекса РФ: ""Если по окончании срока перевода прежняя работа работнику не предоставлена, а он не потребовал ее предоставления и продолжает работать, то условие соглашения о временном характере перевода утрачивает силу и перевод считается постоянным."""
